'Time';'Channel';'PU';'Read';'Write'
27.3657;0;0;1144
27.8498;0;1;1150
27.85;0;2;1136
28.3554;0;3;1191
28.3556;0;4;1198
28.8783;0;5;1133
28.8785;0;6;1180
29.4093;0;7;1120
29.4097;0;0;;0
29.4098;0;1;;0
29.41;0;2;;0
29.4101;0;3;;0
29.4104;0;4;;0
29.4105;0;5;;0
29.4106;0;6;;0
29.4107;0;7;;0
29.4108;1;0;;0
29.411;1;1;;0
29.4111;1;2;;0
29.4113;1;3;;0
29.4115;1;4;;0
29.4116;1;5;;0
29.4117;1;6;;0
29.4119;1;7;;0
29.4121;2;0;;0
29.4123;2;1;;0
29.4124;2;2;;0
29.4126;2;3;;0
29.4128;2;4;;0
29.413;2;5;;0
29.4132;2;6;;0
29.4134;2;7;;0
29.4136;3;0;;0
29.4137;3;1;;0
29.4139;3;2;;0
29.414;3;3;;0
29.4142;3;4;;0
29.4144;3;5;;0
29.4146;3;6;;0
29.4148;3;7;;0
33.6003;0;0;1124
34.1116;0;1;1044
34.1118;0;2;1073
34.5818;0;3;1049
34.5822;0;4;1009
35.0844;0;5;1051
35.0846;0;6;1085
35.5698;0;7;1133
35.5705;0;0;;0
35.571;0;1;;0
35.5713;0;2;;0
35.5716;0;3;;0
35.572;0;4;;0
35.5723;0;5;;0
35.5726;0;6;;0
35.5729;0;7;;0
35.5732;1;0;;0
35.5735;1;1;;0
35.5738;1;2;;0
35.5741;1;3;;0
35.5744;1;4;;0
35.5747;1;5;;0
35.575;1;6;;0
35.5753;1;7;;0
35.5756;2;0;;0
35.5759;2;1;;0
35.5762;2;2;;0
35.5765;2;3;;0
35.5768;2;4;;0
35.5771;2;5;;0
35.5774;2;6;;0
35.5777;2;7;;0
35.578;3;0;;0
35.5783;3;1;;0
35.5786;3;2;;0
35.5789;3;3;;0
35.5792;3;4;;0
35.5795;3;5;;0
35.5798;3;6;;0
35.5801;3;7;;0
39.7327;0;0;1018
40.1936;0;1;961
40.194;0;2;993
40.6489;0;3;1031
40.6495;0;4;1014
41.0934;0;5;948
41.0936;0;6;999
41.5525;0;7;976
41.5537;0;0;;0
41.5543;0;1;;0
41.5548;0;2;;0
41.5553;0;3;;0
41.5557;0;4;;0
41.5562;0;5;;0
41.5566;0;6;;0
41.557;0;7;;0
41.5576;1;0;;0
41.558;1;1;;0
41.5585;1;2;;0
41.5589;1;3;;0
41.5594;1;4;;0
41.5599;1;5;;0
41.5604;1;6;;0
41.5609;1;7;;0
41.5613;2;0;;0
41.5618;2;1;;0
41.5622;2;2;;0
41.5627;2;3;;0
41.5631;2;4;;0
41.5636;2;5;;0
41.564;2;6;;0
41.5645;2;7;;0
41.5649;3;0;;0
41.5654;3;1;;0
41.5659;3;2;;0
41.5663;3;3;;0
41.5668;3;4;;0
41.5673;3;5;;0
41.5679;3;6;;0
41.5684;3;7;;0
45.698;0;0;898
46.1641;0;1;960
46.1643;0;2;883
46.6046;0;3;947
46.6049;0;4;921
47.0399;0;5;964
47.0401;0;6;874
47.4706;0;7;956
47.4718;0;0;;0
47.4726;0;1;;0
47.4732;0;2;;0
47.4738;0;3;;0
47.4744;0;4;;0
47.4749;0;5;;0
47.4755;0;6;;0
47.4761;0;7;;0
47.4768;1;0;;0
47.4774;1;1;;0
47.4779;1;2;;0
47.4785;1;3;;0
47.4793;1;4;;0
47.48;1;5;;0
47.4807;1;6;;0
47.4814;1;7;;0
47.4821;2;0;;0
47.4827;2;1;;0
47.4832;2;2;;0
47.4839;2;3;;0
47.4846;2;4;;0
47.4852;2;5;;0
47.4859;2;6;;0
47.4865;2;7;;0
47.4871;3;0;;0
47.4877;3;1;;0
47.4883;3;2;;0
47.4889;3;3;;0
47.4896;3;4;;0
47.4902;3;5;;0
47.4908;3;6;;0
47.4914;3;7;;0
51.5926;0;0;846
52.0021;0;1;824
52.0023;0;2;853
52.3953;0;3;822
52.3955;0;4;853
52.817;0;5;860
52.8172;0;6;815
53.3671;0;7;868
53.3683;0;0;;0
53.3693;0;1;;0
53.37;0;2;;0
53.3707;0;3;;0
53.3715;0;4;;0
53.3723;0;5;;0
53.373;0;6;;0
53.3737;0;7;;0
53.3745;1;0;;0
53.3752;1;1;;0
53.3759;1;2;;0
53.3766;1;3;;0
53.3773;1;4;;0
53.3781;1;5;;0
53.3788;1;6;;0
53.3794;1;7;;0
53.3803;2;0;;0
53.381;2;1;;0
53.3817;2;2;;0
53.3824;2;3;;0
53.3831;2;4;;0
53.3839;2;5;;0
53.3846;2;6;;0
53.3853;2;7;;0
53.3861;3;0;;0
53.3868;3;1;;0
53.3875;3;2;;0
53.3882;3;3;;0
53.389;3;4;;0
53.3898;3;5;;0
53.3906;3;6;;0
53.3913;3;7;;0
57.4715;0;0;797
57.8726;0;1;822
57.8727;0;2;798
58.2729;0;3;742
58.2731;0;4;802
58.6624;0;5;803
58.6626;0;6;750
59.0353;0;7;741
59.0368;0;0;;0
59.0379;0;1;;0
59.0387;0;2;;0
59.0395;0;3;;0
59.0405;0;4;;0
59.0414;0;5;;0
59.0423;0;6;;0
59.0431;0;7;;0
59.0441;1;0;;0
59.045;1;1;;0
59.0458;1;2;;0
59.0466;1;3;;0
59.0475;1;4;;0
59.0485;1;5;;0
59.0494;1;6;;0
59.0503;1;7;;0
59.0512;2;0;;0
59.0521;2;1;;0
59.053;2;2;;0
59.0538;2;3;;0
59.0547;2;4;;0
59.0556;2;5;;0
59.0565;2;6;;0
59.0573;2;7;;0
59.0582;3;0;;0
59.0591;3;1;;0
59.06;3;2;;0
59.0608;3;3;;0
59.0619;3;4;;0
59.0628;3;5;;0
59.0637;3;6;;0
59.0647;3;7;;0
62.9472;0;0;538
63.1972;0;1;471
63.1974;0;2;482
63.4594;0;3;480
63.4595;0;4;461
63.7071;0;5;493
63.7072;0;6;499
63.9422;0;7;476
63.9442;0;0;;0
63.9453;0;1;;0
63.9463;0;2;;0
63.9472;0;3;;0
63.9482;0;4;;0
63.9492;0;5;;0
63.9501;0;6;;0
63.951;0;7;;0
63.9521;1;0;;0
63.9531;1;1;;0
63.954;1;2;;0
63.9549;1;3;;0
63.956;1;4;;0
63.957;1;5;;0
63.9579;1;6;;0
63.9589;1;7;;0
63.96;2;0;;0
63.9609;2;1;;0
63.9619;2;2;;0
63.9628;2;3;;0
63.9639;2;4;;0
63.9649;2;5;;0
63.9659;2;6;;0
63.9669;2;7;;0
63.9679;3;0;;0
63.9689;3;1;;0
63.9698;3;2;;0
63.9707;3;3;;0
63.9718;3;4;;0
63.9729;3;5;;0
63.9739;3;6;;0
63.9749;3;7;;0
66.4057;0;0;0
66.4117;0;1;0
66.4117;0;2;0
66.418;0;3;0
66.418;0;4;0
66.4243;0;5;0
66.4244;0;6;0
66.4304;0;7;0
66.4316;0;0;;0
66.4326;0;1;;0
66.4335;0;2;;0
66.4343;0;3;;0
66.4351;0;4;;0
66.436;0;5;;0
66.4367;0;6;;0
66.4375;0;7;;0
66.4386;1;0;;0
66.4395;1;1;;0
66.4405;1;2;;0
66.4414;1;3;;0
66.4424;1;4;;0
66.4435;1;5;;0
66.4445;1;6;;0
66.4455;1;7;;0
66.4465;2;0;;0
66.4475;2;1;;0
66.4484;2;2;;0
66.4493;2;3;;0
66.4505;2;4;;0
66.4516;2;5;;0
66.4526;2;6;;0
66.4537;2;7;;0
66.4548;3;0;;0
66.4559;3;1;;0
66.4569;3;2;;0
66.4578;3;3;;0
66.4589;3;4;;0
66.46;3;5;;0
66.461;3;6;;0
66.462;3;7;;0
70.1014;0;0;0
70.1084;0;1;0
70.1084;0;2;0
70.1149;0;3;0
70.1149;0;4;0
70.1213;0;5;0
70.1214;0;6;0
70.1274;0;7;0
70.1289;0;0;;0
70.1299;0;1;;0
70.1308;0;2;;0
70.1317;0;3;;0
70.1328;0;4;;0
70.1338;0;5;;0
70.1347;0;6;;0
70.1356;0;7;;0
70.1367;1;0;;0
70.1376;1;1;;0
70.1385;1;2;;0
70.1394;1;3;;0
70.1405;1;4;;0
70.1414;1;5;;0
70.1423;1;6;;0
70.1432;1;7;;0
70.1443;2;0;;0
70.1453;2;1;;0
70.1462;2;2;;0
70.1471;2;3;;0
70.1482;2;4;;0
70.1492;2;5;;0
70.1501;2;6;;0
70.151;2;7;;0
70.1522;3;0;;0
70.1533;3;1;;0
70.1544;3;2;;0
70.1554;3;3;;0
70.1566;3;4;;0
70.1577;3;5;;0
70.1588;3;6;;0
70.1599;3;7;;0
73.7869;0;0;0
73.793;0;1;0
73.7931;0;2;0
73.7989;0;3;0
73.7989;0;4;0
73.8049;0;5;0
73.805;0;6;0
73.8109;0;7;0
73.8121;0;0;;0
73.813;0;1;;0
73.8139;0;2;;0
73.8148;0;3;;0
73.8156;0;4;;0
73.8164;0;5;;0
73.8172;0;6;;0
73.818;0;7;;0
73.819;1;0;;0
73.82;1;1;;0
73.8209;1;2;;0
73.8218;1;3;;0
73.8228;1;4;;0
73.8237;1;5;;0
73.8247;1;6;;0
73.8256;1;7;;0
73.8266;2;0;;0
73.8276;2;1;;0
73.8285;2;2;;0
73.8294;2;3;;0
73.8305;2;4;;0
73.8316;2;5;;0
73.8326;2;6;;0
73.8336;2;7;;0
73.8346;3;0;;0
73.8356;3;1;;0
73.8365;3;2;;0
73.8374;3;3;;0
73.8386;3;4;;0
73.8397;3;5;;0
73.8407;3;6;;0
73.8418;3;7;;0
77.463;0;0;0
77.469;0;1;0
77.469;0;2;0
77.4751;0;3;0
77.4751;0;4;0
77.4809;0;5;0
77.481;0;6;0
77.487;0;7;0
77.4882;0;0;;0
77.4891;0;1;;0
77.49;0;2;;0
77.4909;0;3;;0
77.4917;0;4;;0
77.4925;0;5;;0
77.4933;0;6;;0
77.494;0;7;;0
77.4951;1;0;;0
77.4961;1;1;;0
77.497;1;2;;0
77.4979;1;3;;0
77.4989;1;4;;0
77.4999;1;5;;0
77.5008;1;6;;0
77.5017;1;7;;0
77.5028;2;0;;0
77.5037;2;1;;0
77.5047;2;2;;0
77.5055;2;3;;0
77.5066;2;4;;0
77.5077;2;5;;0
77.5087;2;6;;0
77.5097;2;7;;0
77.5107;3;0;;0
77.5117;3;1;;0
77.5126;3;2;;0
77.5135;3;3;;0
77.5147;3;4;;0
77.5158;3;5;;0
77.5168;3;6;;0
77.5179;3;7;;0
81.1403;0;0;0
81.1463;0;1;0
81.1463;0;2;0
81.1523;0;3;0
81.1523;0;4;0
81.1583;0;5;0
81.1584;0;6;0
81.1644;0;7;0
81.1656;0;0;;0
81.1665;0;1;;0
81.1673;0;2;;0
81.1682;0;3;;0
81.1691;0;4;;0
81.1698;0;5;;0
81.1706;0;6;;0
81.1714;0;7;;0
81.1725;1;0;;0
81.1734;1;1;;0
81.1743;1;2;;0
81.1753;1;3;;0
81.1763;1;4;;0
81.1773;1;5;;0
81.1782;1;6;;0
81.1791;1;7;;0
81.1802;2;0;;0
81.1812;2;1;;0
81.1821;2;2;;0
81.183;2;3;;0
81.1841;2;4;;0
81.1852;2;5;;0
81.1862;2;6;;0
81.1872;2;7;;0
81.1882;3;0;;0
81.1893;3;1;;0
81.1902;3;2;;0
81.1911;3;3;;0
81.1923;3;4;;0
81.1934;3;5;;0
81.1944;3;6;;0
81.1954;3;7;;0
84.8147;0;0;0
84.8209;0;1;0
84.8209;0;2;0
84.827;0;3;0
84.827;0;4;0
84.8332;0;5;0
84.8332;0;6;0
84.8394;0;7;0
84.8406;0;0;;0
84.8415;0;1;;0
84.8424;0;2;;0
84.8432;0;3;;0
84.844;0;4;;0
84.8448;0;5;;0
84.8456;0;6;;0
84.8463;0;7;;0
84.8474;1;0;;0
84.8484;1;1;;0
84.8493;1;2;;0
84.8502;1;3;;0
84.8512;1;4;;0
84.8522;1;5;;0
84.8531;1;6;;0
84.854;1;7;;0
84.855;2;0;;0
84.856;2;1;;0
84.8569;2;2;;0
84.8578;2;3;;0
84.8589;2;4;;0
84.8599;2;5;;0
84.8608;2;6;;0
84.8618;2;7;;0
84.8628;3;0;;0
84.8638;3;1;;0
84.8647;3;2;;0
84.8656;3;3;;0
84.8668;3;4;;0
84.8679;3;5;;0
84.8689;3;6;;0
84.87;3;7;;0
88.4954;0;0;0
88.5;0;1;0
88.5;0;2;0
88.5046;0;3;0
88.5046;0;4;0
88.5089;0;5;0
88.509;0;6;0
88.5135;0;7;0
88.5147;0;0;;0
88.5156;0;1;;0
88.5165;0;2;;0
88.5174;0;3;;0
88.5182;0;4;;0
88.5189;0;5;;0
88.5197;0;6;;0
88.5205;0;7;;0
88.5216;1;0;;0
88.5226;1;1;;0
88.5235;1;2;;0
88.5244;1;3;;0
88.5255;1;4;;0
88.5265;1;5;;0
88.5275;1;6;;0
88.5285;1;7;;0
88.5296;2;0;;0
88.5306;2;1;;0
88.5316;2;2;;0
88.5325;2;3;;0
88.5337;2;4;;0
88.5347;2;5;;0
88.5358;2;6;;0
88.5368;2;7;;0
88.5378;3;0;;0
88.5388;3;1;;0
88.5397;3;2;;0
88.5406;3;3;;0
88.5418;3;4;;0
88.5428;3;5;;0
88.5439;3;6;;0
88.5449;3;7;;0
