'Time';'Channel';'PU';'Read';'Write'
32.8179;0;0;793
33.1807;0;1;752
33.1808;0;2;781
33.5601;0;3;796
33.5604;0;4;771
33.9253;0;5;758
33.9255;0;6;783
34.2749;0;7;804
34.2754;0;0;;0
34.2756;0;1;;0
34.2757;0;2;;0
34.2759;0;3;;0
34.2761;0;4;;0
34.2762;0;5;;0
34.2764;0;6;;0
34.2765;0;7;;0
34.2767;1;0;;0
34.2768;1;1;;0
34.2769;1;2;;0
34.277;1;3;;0
34.2772;1;4;;0
34.2773;1;5;;0
34.2775;1;6;;0
34.2776;1;7;;0
34.2777;2;0;;0
34.2778;2;1;;0
34.2779;2;2;;0
34.278;2;3;;0
34.2782;2;4;;0
34.2783;2;5;;0
34.2784;2;6;;0
34.2785;2;7;;0
34.2787;3;0;;0
34.2788;3;1;;0
34.2789;3;2;;0
34.279;3;3;;0
34.2791;3;4;;0
34.2791;3;5;;0
34.2792;3;6;;0
34.2792;3;7;;0
37.0772;0;0;777
37.4091;0;1;728
37.4092;0;2;713
38.1098;0;3;746
38.11;0;4;739
38.4823;0;5;755
38.4824;0;6;749
38.8479;0;7;716
38.8486;0;0;;0
38.8488;0;1;;0
38.8492;0;2;;0
38.8494;0;3;;0
38.8497;0;4;;0
38.85;0;5;;0
38.8502;0;6;;0
38.8504;0;7;;0
38.8507;1;0;;0
38.851;1;1;;0
38.8512;1;2;;0
38.8514;1;3;;0
38.8517;1;4;;0
38.8519;1;5;;0
38.8521;1;6;;0
38.8524;1;7;;0
38.8527;2;0;;0
38.8529;2;1;;0
38.8531;2;2;;0
38.8533;2;3;;0
38.8536;2;4;;0
38.8538;2;5;;0
38.854;2;6;;0
38.8542;2;7;;0
38.8545;3;0;;0
38.8547;3;1;;0
38.8549;3;2;;0
38.8551;3;3;;0
38.8553;3;4;;0
38.8555;3;5;;0
38.8557;3;6;;0
38.8558;3;7;;0
41.7052;0;0;685
42.0472;0;1;697
42.0474;0;2;709
42.3845;0;3;736
42.3847;0;4;702
42.7422;0;5;698
42.7424;0;6;709
43.1992;0;7;713
43.2003;0;0;;0
43.201;0;1;;0
43.2014;0;2;;0
43.2018;0;3;;0
43.2023;0;4;;0
43.2026;0;5;;0
43.203;0;6;;0
43.2034;0;7;;0
43.2039;1;0;;0
43.2043;1;1;;0
43.2047;1;2;;0
43.2051;1;3;;0
43.2055;1;4;;0
43.2059;1;5;;0
43.2063;1;6;;0
43.2066;1;7;;0
43.2071;2;0;;0
43.2074;2;1;;0
43.2078;2;2;;0
43.2082;2;3;;0
43.2087;2;4;;0
43.209;2;5;;0
43.2094;2;6;;0
43.2097;2;7;;0
43.2102;3;0;;0
43.2106;3;1;;0
43.2109;3;2;;0
43.2113;3;3;;0
43.2117;3;4;;0
43.2121;3;5;;0
43.2124;3;6;;0
43.2128;3;7;;0
46.022;0;0;672
46.3512;0;1;716
46.3514;0;2;670
46.6514;0;3;640
46.6517;0;4;725
46.984;0;5;597
46.9843;0;6;655
47.2944;0;7;679
47.2955;0;0;;0
47.2963;0;1;;0
47.2967;0;2;;0
47.2972;0;3;;0
47.2977;0;4;;0
47.2982;0;5;;0
47.2986;0;6;;0
47.299;0;7;;0
47.2996;1;0;;0
47.3001;1;1;;0
47.3005;1;2;;0
47.3009;1;3;;0
47.3015;1;4;;0
47.302;1;5;;0
47.3024;1;6;;0
47.3028;1;7;;0
47.3034;2;0;;0
47.3038;2;1;;0
47.3042;2;2;;0
47.3047;2;3;;0
47.3052;2;4;;0
47.3056;2;5;;0
47.306;2;6;;0
47.3064;2;7;;0
47.3069;3;0;;0
47.3073;3;1;;0
47.3077;3;2;;0
47.3081;3;3;;0
47.3087;3;4;;0
47.3092;3;5;;0
47.3097;3;6;;0
47.3101;3;7;;0
50.0794;0;0;656
50.3999;0;1;611
50.4;0;2;656
50.7056;0;3;614
50.7058;0;4;672
51.0265;0;5;634
51.0267;0;6;608
51.3167;0;7;640
51.318;0;0;;0
51.3187;0;1;;0
51.3193;0;2;;0
51.3198;0;3;;0
51.3205;0;4;;0
51.321;0;5;;0
51.3215;0;6;;0
51.322;0;7;;0
51.3228;1;0;;0
51.3234;1;1;;0
51.3239;1;2;;0
51.3245;1;3;;0
51.3252;1;4;;0
51.3257;1;5;;0
51.3263;1;6;;0
51.3268;1;7;;0
