PuGrp,PUnit,Chunk,ValidSectors,InvalidSectors,UnusedSectors,ValidRatio,InvalidRatio
0,0,1,4096,0,0,1,0
0,0,2,4096,0,0,1,0
0,0,3,4096,0,0,1,0
0,0,4,4096,0,0,1,0
0,0,5,4096,0,0,1,0
0,0,6,4096,0,0,1,0
0,0,7,548,68,3480,0.133789,0.0166016
0,0,8,3478,618,0,0.849121,0.150879
0,0,9,3470,626,0,0.847168,0.152832
0,0,10,3508,588,0,0.856445,0.143555
0,0,11,3454,642,0,0.843262,0.156738
0,0,12,3490,606,0,0.852051,0.147949
0,0,13,3507,589,0,0.856201,0.143799
0,0,14,371,53,3672,0.0905762,0.0129395
0,1,0,4096,0,0,1,0
0,1,1,4096,0,0,1,0
0,1,2,4096,0,0,1,0
0,1,3,4096,0,0,1,0
0,1,4,4096,0,0,1,0
0,1,5,4096,0,0,1,0
0,1,6,548,68,3480,0.133789,0.0166016
0,1,7,3484,612,0,0.850586,0.149414
0,1,8,3479,617,0,0.849365,0.150635
0,1,9,3507,589,0,0.856201,0.143799
0,1,10,3476,620,0,0.848633,0.151367
0,1,11,3503,593,0,0.855225,0.144775
0,1,12,3495,601,0,0.853271,0.146729
0,1,13,358,66,3672,0.0874023,0.0161133
0,2,0,4096,0,0,1,0
0,2,1,4096,0,0,1,0
0,2,2,4096,0,0,1,0
0,2,3,4096,0,0,1,0
0,2,4,4096,0,0,1,0
0,2,5,4096,0,0,1,0
0,2,6,548,68,3480,0.133789,0.0166016
0,2,7,3485,611,0,0.85083,0.14917
0,2,8,3464,632,0,0.845703,0.154297
0,2,9,3495,601,0,0.853271,0.146729
0,2,10,3501,595,0,0.854736,0.145264
0,2,11,3481,615,0,0.849854,0.150146
0,2,12,3487,609,0,0.851318,0.148682
0,2,13,368,56,3672,0.0898438,0.0136719
0,3,0,4096,0,0,1,0
0,3,1,4096,0,0,1,0
0,3,2,4096,0,0,1,0
0,3,3,4096,0,0,1,0
0,3,4,4096,0,0,1,0
0,3,5,4096,0,0,1,0
0,3,6,548,68,3480,0.133789,0.0166016
0,3,7,3502,594,0,0.85498,0.14502
0,3,8,3479,617,0,0.849365,0.150635
0,3,9,3497,599,0,0.85376,0.14624
0,3,10,3484,612,0,0.850586,0.149414
0,3,11,3517,579,0,0.858643,0.141357
0,3,12,3458,638,0,0.844238,0.155762
0,3,13,366,58,3672,0.0893555,0.0141602
1,0,0,4096,0,0,1,0
1,0,1,4096,0,0,1,0
1,0,2,4096,0,0,1,0
1,0,3,4096,0,0,1,0
1,0,4,4096,0,0,1,0
1,0,5,4096,0,0,1,0
1,0,6,548,68,3480,0.133789,0.0166016
1,0,7,3511,585,0,0.857178,0.142822
1,0,8,3498,598,0,0.854004,0.145996
1,0,9,3485,611,0,0.85083,0.14917
1,0,10,3476,620,0,0.848633,0.151367
1,0,11,3495,601,0,0.853271,0.146729
1,0,12,3492,604,0,0.852539,0.147461
1,0,13,352,72,3672,0.0859375,0.0175781
1,1,0,4096,0,0,1,0
1,1,1,4096,0,0,1,0
1,1,2,4096,0,0,1,0
1,1,3,4096,0,0,1,0
1,1,4,4096,0,0,1,0
1,1,5,4096,0,0,1,0
1,1,6,548,68,3480,0.133789,0.0166016
1,1,7,3490,606,0,0.852051,0.147949
1,1,8,3456,640,0,0.84375,0.15625
1,1,9,3510,586,0,0.856934,0.143066
1,1,10,3499,597,0,0.854248,0.145752
1,1,11,3502,594,0,0.85498,0.14502
1,1,12,3510,586,0,0.856934,0.143066
1,1,13,356,68,3672,0.0869141,0.0166016
1,2,0,4096,0,0,1,0
1,2,1,4096,0,0,1,0
1,2,2,4096,0,0,1,0
1,2,3,4096,0,0,1,0
1,2,4,4096,0,0,1,0
1,2,5,4096,0,0,1,0
1,2,6,548,68,3480,0.133789,0.0166016
1,2,7,3453,643,0,0.843018,0.156982
1,2,8,3499,597,0,0.854248,0.145752
1,2,9,3529,567,0,0.861572,0.138428
1,2,10,3498,598,0,0.854004,0.145996
1,2,11,3454,642,0,0.843262,0.156738
1,2,12,3503,593,0,0.855225,0.144775
1,2,13,359,65,3672,0.0876465,0.0158691
1,3,0,4096,0,0,1,0
1,3,1,4096,0,0,1,0
1,3,2,4096,0,0,1,0
1,3,3,4096,0,0,1,0
1,3,4,4096,0,0,1,0
1,3,5,4096,0,0,1,0
1,3,6,548,68,3480,0.133789,0.0166016
1,3,7,3437,659,0,0.839111,0.160889
1,3,8,3498,598,0,0.854004,0.145996
1,3,9,3503,593,0,0.855225,0.144775
1,3,10,3498,598,0,0.854004,0.145996
1,3,11,3503,593,0,0.855225,0.144775
1,3,12,3522,574,0,0.859863,0.140137
1,3,13,355,69,3672,0.0866699,0.0168457
2,0,0,4096,0,0,1,0
2,0,1,4096,0,0,1,0
2,0,2,4096,0,0,1,0
2,0,3,4096,0,0,1,0
2,0,4,4096,0,0,1,0
2,0,5,4096,0,0,1,0
2,0,6,548,68,3480,0.133789,0.0166016
2,0,7,3483,613,0,0.850342,0.149658
2,0,8,3505,591,0,0.855713,0.144287
2,0,9,3488,608,0,0.851562,0.148438
2,0,10,3481,615,0,0.849854,0.150146
2,0,11,3491,605,0,0.852295,0.147705
2,0,12,3500,596,0,0.854492,0.145508
2,0,13,366,58,3672,0.0893555,0.0141602
2,1,0,4096,0,0,1,0
2,1,1,4096,0,0,1,0
2,1,2,4096,0,0,1,0
2,1,3,4096,0,0,1,0
2,1,4,4096,0,0,1,0
2,1,5,4096,0,0,1,0
2,1,6,548,68,3480,0.133789,0.0166016
2,1,7,3502,594,0,0.85498,0.14502
2,1,8,3472,624,0,0.847656,0.152344
2,1,9,3481,615,0,0.849854,0.150146
2,1,10,3506,590,0,0.855957,0.144043
2,1,11,3465,631,0,0.845947,0.154053
2,1,12,3482,614,0,0.850098,0.149902
2,1,13,366,58,3672,0.0893555,0.0141602
2,2,0,4096,0,0,1,0
2,2,1,4096,0,0,1,0
2,2,2,4096,0,0,1,0
2,2,3,4096,0,0,1,0
2,2,4,4096,0,0,1,0
2,2,5,4096,0,0,1,0
2,2,6,548,68,3480,0.133789,0.0166016
2,2,7,3493,603,0,0.852783,0.147217
2,2,8,3502,594,0,0.85498,0.14502
2,2,9,3490,606,0,0.852051,0.147949
2,2,10,3482,614,0,0.850098,0.149902
2,2,11,3485,611,0,0.85083,0.14917
2,2,12,3475,621,0,0.848389,0.151611
2,2,13,371,53,3672,0.0905762,0.0129395
2,3,0,4096,0,0,1,0
2,3,1,4096,0,0,1,0
2,3,2,4096,0,0,1,0
2,3,3,4096,0,0,1,0
2,3,4,4096,0,0,1,0
2,3,5,4096,0,0,1,0
2,3,6,548,68,3480,0.133789,0.0166016
2,3,7,3495,601,0,0.853271,0.146729
2,3,8,3502,594,0,0.85498,0.14502
2,3,9,3482,614,0,0.850098,0.149902
2,3,10,3459,637,0,0.844482,0.155518
2,3,11,3499,597,0,0.854248,0.145752
2,3,12,3504,592,0,0.855469,0.144531
2,3,13,371,53,3672,0.0905762,0.0129395
3,0,0,4096,0,0,1,0
3,0,1,4096,0,0,1,0
3,0,2,4096,0,0,1,0
3,0,3,4096,0,0,1,0
3,0,4,4096,0,0,1,0
3,0,5,4096,0,0,1,0
3,0,6,548,68,3480,0.133789,0.0166016
3,0,7,3508,588,0,0.856445,0.143555
3,0,8,3466,630,0,0.846191,0.153809
3,0,9,3483,613,0,0.850342,0.149658
3,0,10,3493,603,0,0.852783,0.147217
3,0,11,3520,576,0,0.859375,0.140625
3,0,12,3485,611,0,0.85083,0.14917
3,0,13,358,66,3672,0.0874023,0.0161133
3,1,0,4096,0,0,1,0
3,1,1,4096,0,0,1,0
3,1,2,4096,0,0,1,0
3,1,3,4096,0,0,1,0
3,1,4,4096,0,0,1,0
3,1,5,4096,0,0,1,0
3,1,6,548,68,3480,0.133789,0.0166016
3,1,7,3466,630,0,0.846191,0.153809
3,1,8,3477,619,0,0.848877,0.151123
3,1,9,3492,604,0,0.852539,0.147461
3,1,10,3521,575,0,0.859619,0.140381
3,1,11,3486,610,0,0.851074,0.148926
3,1,12,3471,625,0,0.847412,0.152588
3,1,13,365,59,3672,0.0891113,0.0144043
3,2,0,4096,0,0,1,0
3,2,1,4096,0,0,1,0
3,2,2,4096,0,0,1,0
3,2,3,4096,0,0,1,0
3,2,4,4096,0,0,1,0
3,2,5,4096,0,0,1,0
3,2,6,548,68,3480,0.133789,0.0166016
3,2,7,3488,608,0,0.851562,0.148438
3,2,8,3483,613,0,0.850342,0.149658
3,2,9,3504,592,0,0.855469,0.144531
3,2,10,3472,624,0,0.847656,0.152344
3,2,11,3492,604,0,0.852539,0.147461
3,2,12,3494,602,0,0.853027,0.146973
3,2,13,366,58,3672,0.0893555,0.0141602
3,3,0,4096,0,0,1,0
3,3,1,4096,0,0,1,0
3,3,2,4096,0,0,1,0
3,3,3,4096,0,0,1,0
3,3,4,4096,0,0,1,0
3,3,5,4096,0,0,1,0
3,3,6,548,68,3480,0.133789,0.0166016
3,3,7,3519,577,0,0.859131,0.140869
3,3,8,3473,623,0,0.8479,0.1521
3,3,9,3502,594,0,0.85498,0.14502
3,3,10,3469,627,0,0.846924,0.153076
3,3,11,3463,633,0,0.845459,0.154541
3,3,12,3509,587,0,0.856689,0.143311
3,3,13,365,59,3672,0.0891113,0.0144043
4,0,0,4096,0,0,1,0
4,0,1,4096,0,0,1,0
4,0,2,4096,0,0,1,0
4,0,3,4096,0,0,1,0
4,0,4,4096,0,0,1,0
4,0,5,4096,0,0,1,0
4,0,6,548,68,3480,0.133789,0.0166016
4,0,7,3463,633,0,0.845459,0.154541
4,0,8,3523,573,0,0.860107,0.139893
4,0,9,3517,579,0,0.858643,0.141357
4,0,10,3449,647,0,0.842041,0.157959
4,0,11,3477,619,0,0.848877,0.151123
4,0,12,3492,604,0,0.852539,0.147461
4,0,13,363,61,3672,0.088623,0.0148926
4,1,0,4096,0,0,1,0
4,1,1,4096,0,0,1,0
4,1,2,4096,0,0,1,0
4,1,3,4096,0,0,1,0
4,1,4,4096,0,0,1,0
4,1,5,4096,0,0,1,0
4,1,6,548,68,3480,0.133789,0.0166016
4,1,7,3501,595,0,0.854736,0.145264
4,1,8,3487,609,0,0.851318,0.148682
4,1,9,3444,652,0,0.84082,0.15918
4,1,10,3525,571,0,0.860596,0.139404
4,1,11,3481,615,0,0.849854,0.150146
4,1,12,3529,567,0,0.861572,0.138428
4,1,13,367,57,3672,0.0895996,0.013916
4,2,0,4096,0,0,1,0
4,2,1,4096,0,0,1,0
4,2,2,4096,0,0,1,0
4,2,3,4096,0,0,1,0
4,2,4,4096,0,0,1,0
4,2,5,4096,0,0,1,0
4,2,6,548,68,3480,0.133789,0.0166016
4,2,7,3486,610,0,0.851074,0.148926
4,2,8,3539,557,0,0.864014,0.135986
4,2,9,3475,621,0,0.848389,0.151611
4,2,10,3508,588,0,0.856445,0.143555
4,2,11,3475,621,0,0.848389,0.151611
4,2,12,3470,626,0,0.847168,0.152832
4,2,13,356,68,3672,0.0869141,0.0166016
4,3,0,4096,0,0,1,0
4,3,1,4096,0,0,1,0
4,3,2,4096,0,0,1,0
4,3,3,4096,0,0,1,0
4,3,4,4096,0,0,1,0
4,3,5,4096,0,0,1,0
4,3,6,548,68,3480,0.133789,0.0166016
4,3,7,3490,606,0,0.852051,0.147949
4,3,8,3491,605,0,0.852295,0.147705
4,3,9,3451,645,0,0.842529,0.157471
4,3,10,3512,584,0,0.857422,0.142578
4,3,11,3493,603,0,0.852783,0.147217
4,3,12,3525,571,0,0.860596,0.139404
4,3,13,352,72,3672,0.0859375,0.0175781
5,0,0,4096,0,0,1,0
5,0,1,4096,0,0,1,0
5,0,2,4096,0,0,1,0
5,0,3,4096,0,0,1,0
5,0,4,4096,0,0,1,0
