PuGrp,PUnit,Chunk,ValidSectors,InvalidSectors,UnusedSectors,ValidRatio,InvalidRatio
0,0,0,1760120672,21931,-1760138507,429717,5.35425
0,0,1,4054,42,0,0.989746,0.0102539
0,0,8,1868918383,1852399462,573653547,456279,452246
0,0,9,1852797802,1835101791,607071799,452343,448023
0,0,10,1769238639,7564911,-1776799454,431943,1846.9
0,0,11,1869571886,778398823,1647000683,456438,190039
0,0,12,1760122480,21931,-1760140315,429717,5.35425
0,0,13,4,0,4092,0.000976562,0
0,0,14,11,0,4085,0.00268555,0
0,0,15,3189,917,-10,0.778564,0.223877
0,0,16,10,0,4086,0.00244141,0
0,0,17,3193,914,-11,0.779541,0.223145
0,0,18,10,0,4086,0.00244141,0
0,0,19,12,0,4084,0.00292969,0
0,0,20,12,0,4084,0.00292969,0
0,0,21,9,0,4087,0.00219727,0
0,0,22,11,0,4085,0.00268555,0
0,0,23,3194,912,-10,0.779785,0.222656
0,0,24,12,0,4084,0.00292969,0
0,0,25,10,0,4086,0.00244141,0
0,0,26,11,0,4085,0.00268555,0
0,0,27,3201,904,-9,0.781494,0.220703
0,0,28,3180,929,-13,0.776367,0.226807
0,0,29,13,0,4083,0.00317383,0
0,1,0,1760702736,26027,-1760724667,429859,6.35425
0,1,1,4094,2,0,0.999512,0.000488281
0,1,15,3163,933,0,0.772217,0.227783
0,1,17,3152,944,0,0.769531,0.230469
0,1,23,3187,909,0,0.778076,0.221924
0,1,27,3226,870,0,0.787598,0.212402
0,1,28,3203,893,0,0.781982,0.218018
0,2,0,1760708336,26027,-1760730267,429860,6.35425
0,2,1,4096,0,0,1,0
0,2,15,3167,929,0,0.773193,0.226807
0,2,17,3189,907,0,0.778564,0.221436
0,2,23,3198,898,0,0.780762,0.219238
0,2,27,3227,869,0,0.787842,0.212158
0,2,28,3171,925,0,0.77417,0.22583
0,3,0,1760702736,26027,-1760724667,429859,6.35425
0,3,1,4096,0,0,1,0
0,3,15,3199,897,0,0.781006,0.218994
0,3,23,3165,931,0,0.772705,0.227295
0,3,28,3154,942,0,0.77002,0.22998
1,0,0,1760704192,26027,-1760726123,429859,6.35425
1,0,1,4096,0,0,1,0
1,0,15,3220,876,0,0.786133,0.213867
1,0,17,3173,923,0,0.774658,0.225342
1,0,23,3183,913,0,0.7771,0.2229
1,0,27,3171,925,0,0.77417,0.22583
1,0,28,3142,954,0,0.76709,0.23291
1,1,0,14,4082,0,0.00341797,0.996582
1,1,1,4096,0,0,1,0
1,1,15,3142,954,0,0.76709,0.23291
1,1,17,3156,940,0,0.770508,0.229492
1,1,23,3135,961,0,0.765381,0.234619
